periode_data,wilayah,kecamatan,kelurahan,jenis_kelamin,jumlah_penduduk,rasio_jenis_kelamin,jumlah_kepadatan
2023,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,Laki-Laki,36647,100.39,24922.35
2023,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,Laki-Laki,24823,100.69,10367.1
2023,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,Laki-Laki,15992,106.43,8091.88
2023,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,Laki-Laki,22993,98.26,19357.53
2023,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,Laki-Laki,15214,98.49,15837.88
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,Laki-Laki,8042,103.54,16150.41
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,Laki-Laki,20425,101.94,38603.29
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,Laki-Laki,26792,100.92,27518.71
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,Laki-Laki,13444,101.4,8402.25
2023,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,Laki-Laki,11495,100.69,28600.43
2023,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,Laki-Laki,3618,100.53,3321.98
2023,JAKARTA SELATAN,SETIA BUDI,GUNTUR,Laki-Laki,2181,93.61,6869.92
2023,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,Laki-Laki,16803,101.66,42834.16
2023,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,Laki-Laki,16809,98.21,32497.99
2023,JAKARTA SELATAN,SETIA BUDI,KARET,Laki-Laki,5712,100.63,11487.52
2023,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,Laki-Laki,9775,99.32,11523.35
2023,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,Laki-Laki,1715,101.12,3772.56
2023,JAKARTA SELATAN,SETIA BUDI,SETIA BUDI,Laki-Laki,1759,100.17,5227.45
2023,JAKARTA SELATAN,TEBET,MANGGARAI,Laki-Laki,17746,100.6,33230.72
2023,JAKARTA SELATAN,TEBET,MANGGARAI SELATAN,Laki-Laki,14026,99.21,50483.16
2023,JAKARTA SELATAN,TEBET,BUKIT DURI,Laki-Laki,21116,100.61,39257.53
2023,JAKARTA SELATAN,TEBET,KEBON BARU,Laki-Laki,21618,99.76,34058.75
2023,JAKARTA SELATAN,TEBET,MENTENG DALAM,Laki-Laki,22111,98.95,18350.35
2023,JAKARTA SELATAN,TEBET,TEBET BARAT,Laki-Laki,12414,94.29,15578.03
2023,JAKARTA SELATAN,TEBET,TEBET TIMUR,Laki-Laki,10305,92.7,16271.5
2023,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,Laki-Laki,17186,98.66,7668.32
2023,JAKARTA BARAT,KEMBANGAN,JOGLO,Laki-Laki,26308,99.02,12075.91
